Mes,ME/USD,Moneda,Anho,G/ME
1,"281,7000",XAU,2002,"1.362.019,50"
1,"763,7600",VEF,2002,"6,33"
1,"678,4000",CLP,2002,"7,13"
1,"0,8625",EUR,2002,"4.170,19"
1,"14,2000",UYU,2002,"340,49"
2,"1,0000",USD,2002,"4.930,00"
2,"2,2621",DEM,2002,"2.179,39"
2,"134,6900",JPY,2002,"36,60"
2,"1,4185",GBP,2002,"6.993,21"
2,"1,7085",CHF,2002,"2.885,57"
2,"7,5868",FRF,2002,"649,81"
2,"10,4981",SEK,2002,"469,61"
2,"2,5488",NLG,2002,"1.934,24"
2,"8,5956",DKK,2002,"573,55"
2,"192,4400",ESP,2002,"25,62"
2,"8,9236",NOK,2002,"552,47"
2,"15,9152",ATS,2002,"309,77"
2,"2.239,5000",ITL,2002,"2,20"
2,"46,6570",BEF,2002,"105,66"
2,"2,3770",BRL,2002,"2.074,04"
2,"2,0900",ARS,2002,"2.358,85"
2,"1,6078",CAD,2002,"3.066,30"
2,"11,3850",ZAR,2002,"433,03"
2,"1,2437",SDR,2002,"6.131,44"
2,"297,3000",XAU,2002,"1.465.689,00"
2,"1.067,0000",VEF,2002,"4,62"
2,"675,1000",CLP,2002,"7,30"
2,"0,8640",EUR,2002,"4.259,52"
2,"14,6000",UYU,2002,"337,67"
3,"1,0000",USD,2002,"4.890,00"
3,"2,2150",DEM,2002,"2.207,67"
3,"132,8100",JPY,2002,"36,82"
3,"1,4261",GBP,2002,"6.973,63"
3,"1,6685",CHF,2002,"2.930,78"
3,"7,4287",FRF,2002,"658,26"
3,"10,2610",SEK,2002,"476,56"
3,"2,4957",NLG,2002,"1.959,37"
3,"8,4810",DKK,2002,"576,58"
3,"188,4300",ESP,2002,"25,95"
3,"8,7917",NOK,2002,"556,21"
3,"15,5836",ATS,2002,"313,79"
3,"2.192,8300",ITL,2002,"2,23"
3,"45,6850",BEF,2002,"107,04"
3,"2,3440",BRL,2002,"2.086,18"
3,"3,3000",ARS,2002,"1.481,82"
3,"1,5929",CAD,2002,"3.069,87"
3,"11,5287",ZAR,2002,"424,16"
3,"1,2469",SDR,2002,"6.097,34"
3,"296,0000",XAU,2002,"1.447.440,00"
3,"888,0000",VEF,2002,"5,51"
3,"664,9000",CLP,2002,"7,35"
3,"0,8761",EUR,2002,"4.284,13"
3,"14,7500",UYU,2002,"331,53"
4,"1,0000",USD,2002,"4.825,00"
4,"2,2150",DEM,2002,"2.178,33"
4,"128,1800",JPY,2002,"37,64"
4,"1,4582",GBP,2002,"7.035,82"
4,"1,6215",CHF,2002,"2.975,64"
4,"7,4287",FRF,2002,"649,51"
4,"10,2188",SEK,2002,"472,17"
4,"2,4957",NLG,2002,"1.933,33"
4,"8,2381",DKK,2002,"585,69"
4,"188,4300",ESP,2002,"25,61"
4,"8,3980",NOK,2002,"574,54"
4,"15,5836",ATS,2002,"309,62"
4,"2.192,8300",ITL,2002,"2,20"
4,"45,6850",BEF,2002,"105,61"
4,"2,3650",BRL,2002,"2.040,17"
4,"2,9800",ARS,2002,"1.619,13"
4,"1,5661",CAD,2002,"3.080,90"
4,"10,5660",ZAR,2002,"456,65"
4,"1,2700",SDR,2002,"6.127,75"
4,"309,8000",XAU,2002,"1.494.785,00"
4,"840,0000",VEF,2002,"5,74"
4,"647,9000",CLP,2002,"7,45"
4,"0,9021",EUR,2002,"4.352,63"
4,"16,6800",UYU,2002,"289,27"
5,"1,0000",USD,2002,"5.150,00"
5,"2,2150",DEM,2002,"2.325,06"
5,"123,0000",JPY,2002,"41,87"
5,"1,4651",GBP,2002,"7.545,27"
5,"1,5613",CHF,2002,"3.298,53"
5,"7,4287",FRF,2002,"693,26"
5,"9,7210",SEK,2002,"529,78"
5,"2,4957",NLG,2002,"2.063,55"
5,"7,9269",DKK,2002,"649,69"
5,"188,4300",ESP,2002,"27,33"
5,"7,9309",NOK,2002,"649,36"
5,"15,5836",ATS,2002,"330,48"
5,"2.192,8300",ITL,2002,"2,35"
5,"45,6850",BEF,2002,"112,73"
5,"2,5110",BRL,2002,"2.050,98"
5,"3,5700",ARS,2002,"1.442,58"
5,"1,5336",CAD,2002,"3.358,11"
5,"9,6700",ZAR,2002,"532,58"
5,"1,2898",SDR,2002,"6.642,47"
5,"323,8500",XAU,2002,"1.667.827,50"
5,"1.140,0000",VEF,2002,"4,52"
5,"654,1500",CLP,2002,"7,87"
5,"0,9373",EUR,2002,"4.827,10"
5,"16,6800",UYU,2002,"308,75"
6,"1,0000",USD,2002,"5.800,00"
6,"2,2150",DEM,2002,"2.618,51"
6,"119,3400",JPY,2002,"48,60"
6,"1,5273",GBP,2002,"8.858,34"
6,"1,4892",CHF,2002,"3.894,71"
6,"7,4287",FRF,2002,"780,76"
6,"9,2085",SEK,2002,"629,85"
6,"2,4957",NLG,2002,"2.324,00"
6,"7,5190",DKK,2002,"771,38"
6,"188,4300",ESP,2002,"30,78"
6,"7,4970",NOK,2002,"773,64"
6,"15,5836",ATS,2002,"372,19"
6,"2.192,8300",ITL,2002,"2,65"
6,"45,6850",BEF,2002,"126,96"
6,"2,8730",BRL,2002,"2.018,80"
6,"3,8000",ARS,2002,"1.526,32"
6,"1,5106",CAD,2002,"3.839,53"
